LABEL;question;answer;context
;What do we have on trailers that can quickly re-establish the emergency operation of the Bank?;power generators;We are aware of such risks and have several power generators ontrailers that we can quickly re-establish the emergency operation 
;What constitutes a risk in relation to heating and electrical means of transport?;dependence on an uninterrupted power supply;rgency operation of the Bank,thus managing the risk.In general, the dependence on an uninterrupted power supply in relation toheating and electrical means of transport constitutes 
;What does the increase in the capacities of power production from environment-friendly sources not follow?;the needs for electricity;of power production from environment-friendly sourcesdoes not follow the needs for electricity, which makes us more dependent onforeign sources. The risks are also
;What makes us more dependent on foreign sources?;the increasein the capacities of power production from environment-friendly sources;oheating and electrical means of transport constitutes a risk, since the increasein the capacities of power production from environment-friendly sourcesdoes not follow the needs for electricity, which makes us more depend
;What does NLB do to segregate wastes?;failure;ign sources. The risks are also associated with potential fines for a failureto segregate wastes, both for the company and for the responsible per
;Who is responsible for segregating wastes for the bank?;responsible person ofthe Bank;s for a failureto segregate wastes, both for the company and for the responsible person ofthe Bank.Figure 1 Electricity Consumption by Years in kWh for NLB d.d.
;How many UN Sustainable Development Goals are addressed in 2020?;17;Source Internal data, 2020Addressing 17 UN SustainableDevelopment Goals19 NLB Group Sustainability Report 
;How many NLB Group Sustainability Report 2020 Contents 2020 Highlights Sustainability Framework Human Rights Regulation  Governance GRI Standards 2021 Roadmap Paper consumption The graph below shows the consumption of what per employee per working day?;17,7;onsumed paper in the periodfrom 2018 to 2020.In 2020, NLB d.d. used 17.70 sheets of paper per employee per day. Thereasons for the reduced use
OK;What year did NLB d.d. use 17.70 sheets of paper per employee per day?;2020; reduced volume of consumed paper in the periodfrom 2018 to 2020.In 2020, NLB d.d. used 17.70 sheets of paper per employee per day. Thereason
OK;What is the reason for the reduced use of paper?;a reduction in the archives on paper;r per employee per day. Thereasons for the reduced use of paper are a reduction in the archives on paperowing to the IT development, introduction of e-signature, the abolish
;What did the introduction of e-signature do?;reduced use of paper; used 17.70 sheets of paper per employee per day. Thereasons for the reduced use of paper are a reduction in the archives on paperowing to the IT development
;What was the abolishment of paper statements?;introduction of e-signature;re a reduction in the archives on paperowing to the IT development, introduction of e-signature, the abolishmentof paper statements, a reduction of the number of ba
;How many bank branch offices were reduced?;number; e-signature, the abolishmentof paper statements, a reduction of the number of bank branch offices,streamlining of work processes, streamlining 
OK;What other measures are there for reducing costs and streamlining the Banks operations?;installation of central multifunctional devices forprinting, working from home; streamlining of the organisational structureof the bank operations, installation of central multifunctional devices forprinting, working from home, as well as other measures for reducing costs andstreamlining the Ba
OK;How many bank branch offices of NLB d.d. were renovated in 2020?;five;Building managementIn 2020, five bank branch offices of NLB d.d. were renovated. In LjubljanaNLB Tav
;In what city was a complete renovation carried out?;Ljubljana;mentIn 2020, five bank branch offices of NLB d.d. were renovated. In LjubljanaNLB TavÄarjeva, NLB BeÅ¾igrad, and NLB E. Leclerc and Koper, acompr
;What was installed in Ljubljana?;energy-saving lights; acomprehensive renovation was carried out, with the installation of energy-saving lights, a newer heating and cooling system with lower powerconsumption, and
;What type of lights were used in the renovation of Izola?;LED; performed, with the wiseconsumption of power also being considered LED lights and a higherenergy-efficiency of the buildings ensured.
;What is an example of a wise consumption of power?;LED lights; performed, with the wiseconsumption of power also being considered LED lights and a higherenergy-efficiency of the buildings ensured.
;How many employees consume paper per working day for NLB d.d.?;Consumption of paper A4 format per employee;Figure 2 Consumption of paper A4 format per employee per working day for NLB d.d.In the framework of space optimisation a
